x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25
0.4995701313018799,0.3791828751564026,-0.0043722717091441154,1.0,0.5070199966430664,0.3646315634250641,0.03172970563173294,1.0,0.51268470287323,0.36382225155830383,0.0317499153316021,0.9999998807907104,0.5185653567314148,0.36296194791793823,0.031486876308918,1.0,0.48972493410110474,0.367720365524292,0.034496914595365524,1.0,0.48356014490127563,0.3686511218547821,0.03463538736104965,0.9999995231628418,0.477396160364151,0.3699159026145935,0.03471365571022034,1.0,0.5281656980514526,0.37070363759994507,0.1982760727405548,1.0,0.4713861346244812,0.37965628504753113,0.20523054897785187,0.9999977350234985,0.5122839212417603,0.3938395380973816,0.05294845253229141,0.9999881982803345,0.49073243141174316,0.3968717157840729,0.05506494641304016,0.9999727010726929,0.5634639263153076,0.4285416007041931,0.17621701955795288,0.9998050332069397,0.44626742601394653,0.43361228704452515,0.20155863463878632,0.9738028049468994,0.6352904438972473,0.3553723990917206,-0.06826896965503693,0.9978796243667603,0.37667351961135864,0.3438452482223511,-0.052489060908555984,0.991435706615448,0.6027274131774902,0.24950942397117615,-0.1494576632976532,0.9949671626091003,0.38443973660469055,0.25127580761909485,-0.181137353181839,0.983723521232605,0.6056196093559265,0.21724200248718262,-0.2000322788953781,0.9678215980529785,0.379597008228302,0.22469159960746765,-0.2237779200077057,0.9156643152236938,0.5911433100700378,0.21914315223693848,-0.1453576534986496,0.9578636884689331,0.39434143900871277,0.22559840977191925,-0.1831490397453308,0.8998236656188965,0.5866450071334839,0.2336871176958084,-0.1397850215435028,0.9650366306304932,0.40071290731430054,0.24050092697143555,-0.17305532097816467,0.9133989810943604,0.553501546382904,0.6405338048934937,-0.00118444103281945,0.9997881054878235,0.4644675850868225,0.638560950756073,0.0019023824715986848,0.9996516704559326
0.4995194971561432,0.378583163022995,0.01923300512135029,1.0,0.5065351724624634,0.36402788758277893,0.055337946861982346,1.0,0.5122767686843872,0.3632745146751404,0.055370111018419266,0.9999998807907104,0.5182356238365173,0.3624787926673889,0.0551346130669117,1.0,0.4890848696231842,0.36711177229881287,0.05830848217010498,1.0,0.48281392455101013,0.36809462308883667,0.05838576704263687,0.9999997615814209,0.4765632748603821,0.3694553077220917,0.058420173823833466,1.0,0.5278478860855103,0.37060266733169556,0.2219211608171463,1.0,0.4705386161804199,0.37892258167266846,0.23112790286540985,0.9999991655349731,0.5117874145507812,0.3933464586734772,0.07550197094678879,0.9999878406524658,0.4906826913356781,0.39620691537857056,0.07813429832458496,0.9999818801879883,0.5624973773956299,0.4293106198310852,0.21626105904579163,0.9997410178184509,0.4460614323616028,0.4330952763557434,0.24023520946502686,0.9869546294212341,0.643913984298706,0.3617093861103058,-0.004734782502055168,0.9974269270896912,0.36934012174606323,0.35099560022354126,0.018582157790660858,0.990616500377655,0.6059664487838745,0.2582865357398987,-0.10878443717956543,0.9952747821807861,0.37692195177078247,0.2587054371833801,-0.11120939254760742,0.9870204925537109,0.6073217391967773,0.22663919627666473,-0.16351032257080078,0.9673283696174622,0.3719821870326996,0.2321283519268036,-0.1556328386068344,0.9343003034591675,0.592781126499176,0.2284916341304779,-0.11008646339178085,0.9570695161819458,0.3875918984413147,0.23287995159626007,-0.11999984085559845,0.9210618734359741,0.5886785387992859,0.2437189817428589,-0.10064335912466049,0.9631235599517822,0.39445993304252625,0.24809198081493378,-0.10535936057567596,0.9270938038825989,0.5523954629898071,0.639424204826355,-0.0004840571491513401,0.9997063279151917,0.46449846029281616,0.6377492547035217,0.001220031874254346,0.9996610879898071
0.49722570180892944,0.3779042363166809,-0.004314172547310591,1.0,0.50504070520401,0.3636067807674408,0.031246939674019814,1.0,0.5108829140663147,0.3630469739437103,0.031277846544981,1.0,0.5169330835342407,0.3624249994754791,0.03105168417096138,1.0,0.48740869760513306,0.36622050404548645,0.033847346901893616,1.0,0.4811438024044037,0.36704546213150024,0.03393230587244034,0.9999998807907104,0.47489842772483826,0.3682582974433899,0.03399515897035599,1.0,0.5267922878265381,0.3709983229637146,0.1984195113182068,1.0,0.46892300248146057,0.37769582867622375,0.2077227383852005,0.9999996423721313,0.509678304195404,0.3934742510318756,0.05226266384124756,0.9999910593032837,0.48815473914146423,0.3957057595252991,0.054869670420885086,0.9999879598617554,0.5609809756278992,0.43097758293151855,0.20781147480010986,0.9998598098754883,0.4442621171474457,0.4330514967441559,0.22737260162830353,0.9919707775115967,0.6491178870201111,0.37281516194343567,0.0013398800510913134,0.9978710412979126,0.36045756936073303,0.35561883449554443,0.01977800764143467,0.9919325709342957,0.6165446043014526,0.2697978615760803,-0.12189589440822601,0.9967647790908813,0.371287077665329,0.26476889848709106,-0.10911186039447784,0.9867457747459412,0.6184585690498352,0.2380692958831787,-0.17809079587459564,0.9767399430274963,0.367247611284256,0.2375691682100296,-0.15436843037605286,0.92540442943573,0.6041561365127563,0.23846638202667236,-0.12786030769348145,0.9689318537712097,0.38330861926078796,0.23950597643852234,-0.11898163706064224,0.9079257845878601,0.5997704267501831,0.2540726363658905,-0.11521683633327484,0.9725578427314758,0.38993918895721436,0.2551683783531189,-0.10383231937885284,0.9152246713638306,0.5510503649711609,0.6370054483413696,-0.0002656001888681203,0.9997506737709045,0.4645276963710785,0.6352849006652832,0.0010103851091116667,0.9997220635414124
0.4970473647117615,0.3776792883872986,0.015424229204654694,1.0,0.5050572752952576,0.36342599987983704,0.05149780586361885,1.0,0.5109962821006775,0.36286765336990356,0.051537204533815384,1.0,0.5171626210212708,0.3623006045818329,0.05132889747619629,1.0,0.48729363083839417,0.3659600615501404,0.054088592529296875,1.0,0.4810207486152649,0.36647796630859375,0.05414165183901787,1.0,0.4747679829597473,0.3672946095466614,0.05418919399380684,1.0,0.5275127291679382,0.3710484206676483,0.21708440780639648,1.0,0.4687690734863281,0.37647074460983276,0.2274172604084015,0.9999998807907104,0.5095118284225464,0.39328113198280334,0.07026802003383636,0.999995231628418,0.48758918046951294,0.39549335837364197,0.07327458262443542,0.9999948740005493,0.5611169934272766,0.4315158426761627,0.23626229166984558,0.9999314546585083,0.4432714879512787,0.4329991340637207,0.2510986626148224,0.9965783953666687,0.6535554528236389,0.3751102685928345,0.05672662705183029,0.9986783862113953,0.3596286475658417,0.36071640253067017,0.07528174668550491,0.9955316781997681,0.6188424825668335,0.27601152658462524,-0.07660283148288727,0.9977311491966248,0.36943674087524414,0.26911255717277527,-0.04205043613910675,0.9923998713493347,0.6189966797828674,0.2452242374420166,-0.13666728138923645,0.9819813370704651,0.3661985397338867,0.24050605297088623,-0.08610878884792328,0.9539933800697327,0.6057547330856323,0.2456057369709015,-0.08697910606861115,0.9754428863525391,0.38004404306411743,0.24278755486011505,-0.056243717670440674,0.9428937435150146,0.6018814444541931,0.26080894470214844,-0.07091696560382843,0.9791683554649353,0.3866535723209381,0.2583294212818146,-0.038672469556331635,0.946358859539032,0.5500652194023132,0.6341873407363892,0.0006997505552135408,0.9998983144760132,0.4642849564552307,0.6324557065963745,8.319845801452175e-05,0.9998818635940552
0.4955114424228668,0.3776783049106598,0.0031011588871479034,1.0,0.5047107934951782,0.36343374848365784,0.03823425620794296,1.0,0.5107670426368713,0.36287742853164673,0.03826383501291275,1.0,0.517031729221344,0.36235156655311584,0.038024965673685074,1.0,0.48672860860824585,0.3657994568347931,0.04256909713149071,1.0,0.48047155141830444,0.3662066161632538,0.042641784995794296,1.0,0.4742211699485779,0.36687880754470825,0.04271393641829491,1.0,0.5276104211807251,0.37112388014793396,0.20095595717430115,1.0,0.4686708450317383,0.3758170008659363,0.21973232924938202,0.9999998807907104,0.5084259510040283,0.3934231996536255,0.05703829973936081,0.9999971389770508,0.4861229956150055,0.3954980969429016,0.06249634176492691,0.9999966621398926,0.5611850023269653,0.4316929280757904,0.21909447014331818,0.999953031539917,0.442553848028183,0.43305379152297974,0.2457253485918045,0.9964078068733215,0.6541957855224609,0.3759041130542755,0.033440541476011276,0.9988412261009216,0.3595203459262848,0.364061176776886,0.07055577635765076,0.9958107471466064,0.6189501881599426,0.2772166430950165,-0.10224424302577972,0.9980241060256958,0.36952972412109375,0.27128666639328003,-0.051036667078733444,0.9928515553474426,0.6188992857933044,0.24690815806388855,-0.1625000536441803,0.9838586449623108,0.36637967824935913,0.24224969744682312,-0.09746585786342621,0.9533405303955078,0.6055077314376831,0.24711446464061737,-0.11315639317035675,0.9776884317398071,0.379986971616745,0.24434812366962433,-0.0655776709318161,0.9414190053939819,0.6017571687698364,0.26184290647506714,-0.09626145660877228,0.9806708097457886,0.38655173778533936,0.25970596075057983,-0.04719444364309311,0.9440746307373047,0.550189197063446,0.6323196887969971,0.000465479854028672,0.9998888969421387,0.46451321244239807,0.6311925649642944,0.00032774018472991884,0.9998675584793091
0.4950292110443115,0.3772755265235901,0.002762670163065195,1.0,0.5041585564613342,0.363257497549057,0.038091160356998444,1.0,0.510184109210968,0.36284127831459045,0.03811732307076454,1.0,0.5164176225662231,0.362446665763855,0.03788004443049431,1.0,0.48625487089157104,0.36561715602874756,0.041945166885852814,1.0,0.480034738779068,0.3661791980266571,0.04201038181781769,1.0,0.4738194942474365,0.36669689416885376,0.04208273068070412,1.0,0.5270079970359802,0.37153109908103943,0.19930019974708557,1.0,0.468280553817749,0.3754938840866089,0.21715494990348816,0.9999998807907104,0.508015513420105,0.39335423707962036,0.05592089891433716,0.9999943971633911,0.48587101697921753,0.3951575458049774,0.06106557324528694,0.9999948740005493,0.5608163475990295,0.4324377179145813,0.22275102138519287,0.9999303817749023,0.4423179030418396,0.43383878469467163,0.24286594986915588,0.9962283372879028,0.6564000844955444,0.38000088930130005,0.04449378699064255,0.9987841248512268,0.35621803998947144,0.36705830693244934,0.0634540319442749,0.9968170523643494,0.623046338558197,0.2851561903953552,-0.09820668399333954,0.9978976249694824,0.36880260705947876,0.27642738819122314,-0.06387834995985031,0.9959355592727661,0.6221334338188171,0.25517788529396057,-0.15776391327381134,0.9832111597061157,0.36598914861679077,0.24751098453998566,-0.10991646349430084,0.9723151326179504,0.6091768145561218,0.25477975606918335,-0.11058483272790909,0.9770491719245911,0.37966039776802063,0.24957697093486786,-0.07878297567367554,0.9649359583854675,0.6056723594665527,0.2698920965194702,-0.09261608868837357,0.9790685176849365,0.38596111536026,0.26538652181625366,-0.06016113609075546,0.9645114541053772,0.5501477122306824,0.6313954591751099,0.000218113767914474,0.9997840523719788,0.46469250321388245,0.630212128162384,0.0005743613583035767,0.9997833371162415
0.4943391680717468,0.37717920541763306,-0.051503799855709076,1.0,0.5037798881530762,0.3634129464626312,-0.018264461308717728,1.0,0.509789228439331,0.3632250726222992,-0.01824348233640194,1.0,0.5160123109817505,0.3630402982234955,-0.018463630229234695,1.0,0.4859233796596527,0.3654027283191681,-0.013499906286597252,1.0,0.47968950867652893,0.36598092317581177,-0.013428889214992523,1.0,0.4734688699245453,0.366621196269989,-0.013328738510608673,1.0,0.5268372893333435,0.37234681844711304,0.14178086817264557,1.0,0.4679858684539795,0.3752959370613098,0.16556793451309204,1.0,0.5071777105331421,0.393801748752594,0.0011162685696035624,0.999996542930603,0.4848843216896057,0.3950325548648834,0.007969910278916359,0.9999971389770508,0.5606122612953186,0.43378084897994995,0.209354966878891,0.999967098236084,0.44188958406448364,0.43502816557884216,0.22726619243621826,0.9978491067886353,0.658528745174408,0.380370557308197,0.049219921231269836,0.9995226860046387,0.35122257471084595,0.37152987718582153,0.05455788969993591,0.9975312352180481,0.6244584321975708,0.29031985998153687,-0.06787744909524918,0.9987608194351196,0.364879310131073,0.28201016783714294,-0.05306302383542061,0.9953346848487854,0.6223663091659546,0.26162126660346985,-0.12633517384529114,0.9884588122367859,0.3635837137699127,0.25269776582717896,-0.09745149314403534,0.9691869616508484,0.6096786856651306,0.2610822319984436,-0.08237786591053009,0.9838302731513977,0.3772261440753937,0.25580549240112305,-0.06859694421291351,0.961469829082489,0.6066402196884155,0.27606940269470215,-0.06359487026929855,0.9857494831085205,0.38315847516059875,0.2715701460838318,-0.0500178262591362,0.9618682861328125,0.5490008592605591,0.6297506093978882,-0.0001796264696167782,0.9998807907104492,0.4647226929664612,0.6292945742607117,0.0009566778317093849,0.999893069267273
0.4936990737915039,0.3771190047264099,-0.0795307606458664,1.0,0.5037249326705933,0.36334532499313354,-0.044141896069049835,1.0,0.5097209811210632,0.36315202713012695,-0.04411735385656357,1.0,0.515928328037262,0.36299416422843933,-0.04432723671197891,1.0,0.48587408661842346,0.3651808500289917,-0.03995426371693611,1.0,0.47965607047080994,0.3655894994735718,-0.0398971289396286,1.0,0.47344526648521423,0.36605092883110046,-0.03977430984377861,1.0,0.5267289876937866,0.37248915433883667,0.12239970266819,1.0,0.4679856300354004,0.3747200667858124,0.14352315664291382,1.0,0.5062459111213684,0.39374980330467224,-0.024652305990457535,0.9999985694885254,0.4839620590209961,0.39497750997543335,-0.01847664639353752,0.9999990463256836,0.5605990290641785,0.4351583421230316,0.184408038854599,0.9999810457229614,0.43980756402015686,0.43713265657424927,0.19157464802265167,0.999232292175293,0.6624977588653564,0.38312476873397827,0.04517796263098717,0.9996292591094971,0.34626537561416626,0.3797903060913086,0.048000674694776535,0.9988910555839539,0.6295458078384399,0.29427433013916016,-0.07121580094099045,0.9986114501953125,0.36216944456100464,0.2886417508125305,-0.07616313546895981,0.998119056224823,0.6273261308670044,0.26486676931381226,-0.13009138405323029,0.9857504367828369,0.36134082078933716,0.25798702239990234,-0.12012938410043716,0.984229326248169,0.6141887903213501,0.2649105489253998,-0.08508928120136261,0.9796110391616821,0.3753175735473633,0.26160988211631775,-0.08651120960712433,0.9792249798774719,0.6111358404159546,0.28012850880622864,-0.06695226579904556,0.9815329909324646,0.38122206926345825,0.27797168493270874,-0.07155953347682953,0.9782846570014954,0.5479763150215149,0.6288914084434509,-0.0008602142333984375,0.9999244213104248,0.4646749496459961,0.6286910772323608,0.0015961667522788048,0.9999443292617798
